File Name,Description,Revision
FWF-23820-0BIN,"Firmware, RXR/RXI TERX, BIN",0109
FRN-23820-0BIN,"Frmwr Rls Notes, RXR/RXI TERX",0109
ZIP-23820-0001,"ZIP file, RXR/RXI TERX, BIN",0109
ZIP-23820-RM01,"ZIP file, RXR/RXI TERX, Readme",A
317-23184-0001,"Kit, Comm, RXI, 1:1",
