027.0;2099/01/01;00:56:49
027.0;2099/01/01;00:56:59
027.0;2099/01/01;00:56:59
027.0;2099/01/01;00:57:10
027.0;2099/01/01;00:57:10
027.0;2099/01/01;00:57:20
027.0;2099/01/01;00:57:20
027.0;2099/01/01;00:57:30
027.0;2099/01/01;00:57:30
027.0;2099/01/01;00:57:41
027.0;2099/01/01;00:57:41
027.0;2099/01/01;00:57:51
027.0;2099/01/01;00:57:51
027.0;2099/01/01;00:58:01
027.0;2099/01/01;00:58:01
027.0;2099/01/01;00:58:12
027.0;2099/01/01;00:58:12
027.0;2099/01/01;00:58:22
027.0;2099/01/01;00:58:22
027.0;2099/01/01;00:58:32
027.0;2099/01/01;00:58:32
027.0;2099/01/01;00:58:43
027.0;2099/01/01;00:58:43
027.0;2099/01/01;00:58:53
027.0;2099/01/01;00:58:53
