1 .1.3.6.1.4.1.21369.1.6.24
2 .1.3.6.1.4.1.21369.1.6.23
3 .1.3.6.1.4.1.21369.1.6.22
4 .1.3.6.1.4.1.21369.1.6.21
5 .1.3.6.1.4.1.21369.1.6.20
6 .1.3.6.1.4.1.21369.1.6.19.1.2
7 .1.3.6.1.4.1.21369.1.6.19.1
8 .1.3.6.1.4.1.21369.1.6.19
9 .1.3.6.1.4.1.21369.1.6.18.0
10 .1.3.6.1.4.1.21369.1.6.17
11 .1.3.6.1.4.1.21369.1.6.16.1.2
12 .1.3.6.1.4.1.21369.1.6.16.1
13 .1.3.6.1.4.1.21369.1.6.16
14 .1.3.6.1.4.1.21369.1.6.15.0
15 .1.3.6.1.4.1.21369.1.6.14.0
16 .1.3.6.1.4.1.21369.1.6.13.0
17 .1.3.6.1.4.1.21369.1.6.12.0
18 .1.3.6.1.4.1.21369.1.6.11.0
19 .1.3.6.1.4.1.21369.1.6.10.0
20 .1.3.6.1.4.1.21369.1.6.9.0
21 .1.3.6.1.4.1.21369.1.6.8.0
22 .1.3.6.1.4.1.21369.1.6.7.0
23 .1.3.6.1.4.1.21369.1.6.6.0
24 .1.3.6.1.4.1.21369.1.6.5.0
25 .1.3.6.1.4.1.21369.1.6.4.0
26 .1.3.6.1.4.1.21369.1.6.3.0
27 .1.3.6.1.4.1.21369.1.6.2.0
28 .1.3.6.1.4.1.21369.1.6.1.0
29 .1.3.6.1.4.1.21369.1.6
30 .1.3.6.1.4.1.21369.1.3.3.9.0
31 .1.3.6.1.4.1.21369.1.3.3.8.0
32 .1.3.6.1.4.1.21369.1.3.3.7.0
33 .1.3.6.1.4.1.21369.1.3.3.6.0
34 .1.3.6.1.4.1.21369.1.3.3.5.0
35 .1.3.6.1.4.1.21369.1.3.3.4.0
36 .1.3.6.1.4.1.21369.1.3.3.3.0
37 .1.3.6.1.4.1.21369.1.3.3.2.0
38 .1.3.6.1.4.1.21369.1.3.3.1.0
39 .1.3.6.1.4.1.21369.1.3.3
40 .1.3.6.1.4.1.21369.1.3.2.24.0
41 .1.3.6.1.4.1.21369.1.3.2.23.0
42 .1.3.6.1.4.1.21369.1.3.2.22.0
43 .1.3.6.1.4.1.21369.1.3.2.21.0
44 .1.3.6.1.4.1.21369.1.3.2.20.0
45 .1.3.6.1.4.1.21369.1.3.2.19.0
46 .1.3.6.1.4.1.21369.1.3.2.18.0
47 .1.3.6.1.4.1.21369.1.3.2.17.0
48 .1.3.6.1.4.1.21369.1.3.2.16.0
49 .1.3.6.1.4.1.21369.1.3.2.15.0
50 .1.3.6.1.4.1.21369.1.3.2.14.0
51 .1.3.6.1.4.1.21369.1.3.2.13.0
52 .1.3.6.1.4.1.21369.1.3.2.12.0
53 .1.3.6.1.4.1.21369.1.3.2.11.0
54 .1.3.6.1.4.1.21369.1.3.2.10.0
55 .1.3.6.1.4.1.21369.1.3.2.9.0
56 .1.3.6.1.4.1.21369.1.3.2.8.0
57 .1.3.6.1.4.1.21369.1.3.2.7.0
58 .1.3.6.1.4.1.21369.1.3.2.6.0
59 .1.3.6.1.4.1.21369.1.3.2.5.0
60 .1.3.6.1.4.1.21369.1.3.2.4.0
61 .1.3.6.1.4.1.21369.1.3.2.3.0
62 .1.3.6.1.4.1.21369.1.3.2.2.0
63 .1.3.6.1.4.1.21369.1.3.2.1.0
64 .1.3.6.1.4.1.21369.1.3.2
65 .1.3.6.1.4.1.21369.1.3.1.7.0
66 .1.3.6.1.4.1.21369.1.3.1.6.0
67 .1.3.6.1.4.1.21369.1.3.1.5.0
68 .1.3.6.1.4.1.21369.1.3.1.4.0
69 .1.3.6.1.4.1.21369.1.3.1.3.0
70 .1.3.6.1.4.1.21369.1.3.1.2.0
71 .1.3.6.1.4.1.21369.1.3.1.1.0
72 .1.3.6.1.4.1.21369.1.3.1
73 .1.3.6.1.4.1.21369.1.3
74 .1.3.6.1.4.1.21369.1.2.6.0
75 .1.3.6.1.4.1.21369.1.2.5.0
76 .1.3.6.1.4.1.21369.1.2.4.0
77 .1.3.6.1.4.1.21369.1.2.3.0
78 .1.3.6.1.4.1.21369.1.2.2.0
79 .1.3.6.1.4.1.21369.1.2.1.0
80 .1.3.6.1.4.1.21369.1.2
81 .1.3.6.1.4.1.21369.1.1.6.8.0
82 .1.3.6.1.4.1.21369.1.1.6.7.0
83 .1.3.6.1.4.1.21369.1.1.6.6.0
84 .1.3.6.1.4.1.21369.1.1.6.5.0
85 .1.3.6.1.4.1.21369.1.1.6.4.0
86 .1.3.6.1.4.1.21369.1.1.6.3.0
87 .1.3.6.1.4.1.21369.1.1.6.2.0
88 .1.3.6.1.4.1.21369.1.1.6.1.0
89 .1.3.6.1.4.1.21369.1.1.6
90 .1.3.6.1.4.1.21369.1.1.5.20.0
91 .1.3.6.1.4.1.21369.1.1.5.19.0
92 .1.3.6.1.4.1.21369.1.1.5.18.0
93 .1.3.6.1.4.1.21369.1.1.5.13.0
94 .1.3.6.1.4.1.21369.1.1.5.12.0
95 .1.3.6.1.4.1.21369.1.1.5.11.0
96 .1.3.6.1.4.1.21369.1.1.5.10.0
97 .1.3.6.1.4.1.21369.1.1.5.9.0
98 .1.3.6.1.4.1.21369.1.1.5.8.0
99 .1.3.6.1.4.1.21369.1.1.5.7.0
100 .1.3.6.1.4.1.21369.1.1.5.5.0
101 .1.3.6.1.4.1.21369.1.1.5.4.0
102 .1.3.6.1.4.1.21369.1.1.5.3.0
103 .1.3.6.1.4.1.21369.1.1.5.2.0
104 .1.3.6.1.4.1.21369.1.1.5.1.0
105 .1.3.6.1.4.1.21369.1.1.5
106 .1.3.6.1.4.1.21369.1.1.4.5.0
107 .1.3.6.1.4.1.21369.1.1.4.4.0
108 .1.3.6.1.4.1.21369.1.1.4.3.0
109 .1.3.6.1.4.1.21369.1.1.4.2.0
110 .1.3.6.1.4.1.21369.1.1.4.1.0
111 .1.3.6.1.4.1.21369.1.1.4
112 .1.3.6.1.4.1.21369.1.1.3.12.0
113 .1.3.6.1.4.1.21369.1.1.3.11.0
114 .1.3.6.1.4.1.21369.1.1.3.10.0
115 .1.3.6.1.4.1.21369.1.1.3.9.0
116 .1.3.6.1.4.1.21369.1.1.3.8.0
117 .1.3.6.1.4.1.21369.1.1.3.7.0
118 .1.3.6.1.4.1.21369.1.1.3.6.0
119 .1.3.6.1.4.1.21369.1.1.3.5.0
120 .1.3.6.1.4.1.21369.1.1.3.4.0
121 .1.3.6.1.4.1.21369.1.1.3.3.0
122 .1.3.6.1.4.1.21369.1.1.3.2.0
123 .1.3.6.1.4.1.21369.1.1.3.1.0
124 .1.3.6.1.4.1.21369.1.1.3
125 .1.3.6.1.4.1.21369.1.1.2.4.0
126 .1.3.6.1.4.1.21369.1.1.2.3.0
127 .1.3.6.1.4.1.21369.1.1.2.2.0
128 .1.3.6.1.4.1.21369.1.1.2.1.0
129 .1.3.6.1.4.1.21369.1.1.2
130 .1.3.6.1.4.1.21369.1.1.1.5.0
131 .1.3.6.1.4.1.21369.1.1.1.4.0
132 .1.3.6.1.4.1.21369.1.1.1.3.0
133 .1.3.6.1.4.1.21369.1.1.1.2.0
134 .1.3.6.1.4.1.21369.1.1.1.1.0
135 .1.3.6.1.4.1.21369.1.1.1
136 .1.3.6.1.4.1.21369.1.1
137 .1.3.6.1.4.1.21369.1
138 .1.3.6.1.2.1.1.7.0
139 .1.3.6.1.2.1.1.6.0
140 .1.3.6.1.2.1.1.5.0
141 .1.3.6.1.2.1.1.4.0
142 .1.3.6.1.2.1.1.3.0
