what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1223712959184
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223712959698
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1223712960759
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223712962600
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223712965392
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223712969012
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1223712971664
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineEnd,1223712971960
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223712973333
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223712975236
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223712976827
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223712978902
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223712979791
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223712981663
activated,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1223712982568
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223712996064
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223712997047
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223712998326
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223712998857
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223713002585
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223713004036
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1223713005643
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223713025798
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223713234422
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223713245895
