what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223841634127
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223841636420
executed,command,org.eclipse.wst.sse.ui,1.1.2.v200809120159,org.eclipse.wst.sse.ui.cleanup.document,1223841636654
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1223841708305
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1223841712470
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223841714483
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223841719958
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223841730660
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1223841734451
opened,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1223841734841
activated,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1223841734903
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1223841737370
closed,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1223841737370
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223841745732
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223841754421
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223841760474
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223841812257
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1223841815970
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223842309569
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223842337712
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1223842359942
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223842361923
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223842377102
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223842379020
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223842380924
