what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223708842655
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223708843772
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1223708870504
closed,editor,org.eclipse.wst.jsdt.ui,1.0.12.v200809172136,org.eclipse.wst.jsdt.ui.CompilationUnitEditor,1223708870507
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1223708872946
closed,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1223708872957
opened,editor,org.eclipse.wst.jsdt.ui,1.0.12.v200809172136,org.eclipse.wst.jsdt.ui.CompilationUnitEditor,1223708882397
activated,editor,org.eclipse.wst.jsdt.ui,1.0.12.v200809172136,org.eclipse.wst.jsdt.ui.CompilationUnitEditor,1223708882581
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.RunLast,1223708892805
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223708892814
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223708894732
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223708912067
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223708935648
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1223708941400
opened,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1223708941672
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1223708941770
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223708950198
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223709058553
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223709074751
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223709076215
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223709104699
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1223709106364
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223709112861
activated,editor,org.eclipse.wst.jsdt.ui,1.0.12.v200809172136,org.eclipse.wst.jsdt.ui.CompilationUnitEditor,1223709115086
closed,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1223709115095
