what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223669597052
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.properties,1223669597087
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1223669598285
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223669604330
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223669605955
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1223669619427
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223669621499
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223669622930
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223669643125
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1223669644179
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223669644704
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1223669650636
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223669718677
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223669719891
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.RunLast,1223669719902
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1223669721131
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223669723440
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223669724548
started,bundle,org.eclipse.jst.server.core,1.1.1.v20080730,org.eclipse.jst.server.core,1223669728012
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223669728228
started,bundle,org.eclipse.wst.server.preview.adapter,1.0.101.v20080730,org.eclipse.wst.server.preview.adapter,1223669728315
started,bundle,org.eclipse.wst.server.http.core,1.0.100.v200805140145,org.eclipse.wst.server.http.core,1223669728336
started,bundle,org.eclipse.jst.server.ui,1.0.303.v200805140145,org.eclipse.jst.server.ui,1223669728349
opened,view,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui.ServersView,1223669732947
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223669733013
