what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223846959452
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223846964881
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1223846968235
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223846968671
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223846970075
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223846971105
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223846971932
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223846976315
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1223846978297
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1223846981479
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223846982103
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223846985660
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223846986877
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223846994583
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223846995535
executed,command,org.eclipse.wst.sse.ui,1.1.2.v200809120159,org.eclipse.wst.sse.ui.cleanup.document,1223846995800
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1223847003101
opened,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1223847003303
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1223847003366
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1223847007328
closed,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1223847007328
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223847008685
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1223847010979
closed,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1223847011010
opened,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1223847013007
