what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223712821496
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223712822868
executed,command,org.eclipse.wst.sse.ui,1.1.2.v200809120159,org.eclipse.wst.sse.ui.format.document,1223712829311
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223712832478
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223712858795
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223712859419
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223712861588
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223712870417
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223712870916
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223712872695
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1223712883630
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223712884738
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223712885814
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223712887499
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223712892741
opened,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1223712896188
activated,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1223712896235
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223712922305
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223712923772
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1223712925566
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1223712936486
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223712949059
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223712950354
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineEnd,1223712953973
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.cut,1223712956173
