what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223846896475
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223846897114
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223846902964
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223846909095
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223846909953
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1223846911232
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223846911809
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223846919173
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223846924991
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223846927831
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223846928611
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1223846930810
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223846931481
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223846933712
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223846939562
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1223846942744
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223846943275
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223846943618
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223846945037
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223846946816
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223846950809
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223846952993
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223846954304
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1223846956581
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223846957127
