what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.cut,1223842386025
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223842388583
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1223842391235
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223842391828
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223842394901
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223842398879
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223842401531
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223842439452
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223842444990
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223842456690
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1223842458920
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1223842467859
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223842469638
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223842481182
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223842482586
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.cut,1223842486018
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223842488529
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223842489512
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1223842491368
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1223842491805
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223842493521
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223842510552
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223842543405
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223842547040
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223842547898
